site_id,backend,fetched_at,group_id,group_name,rate_multiplier,rate_multiplier_effective,rate_divisor,status,platform,description
aiapibank,sub2api,2026-07-23T09:50:29Z,14,GPT-Image-2 分组 特价0.05一张（只支持1K）,0.05,0.05,1.0,active,openai,生图1K分组
aiapibank,sub2api,2026-07-23T09:50:29Z,16,Image-2 生图1K/2K/4K,0.1,0.1,1.0,active,openai,3种分辨率全支持
aiapibank,sub2api,2026-07-23T09:50:29Z,18,GPT Plus稳定组,0.12,0.12,1.0,active,openai,绝对稳定 蹬就完了
aiapibank,sub2api,2026-07-23T09:50:29Z,2,Claude特价组,0.15,0.15,1.0,active,anthropic,Claude kiro渠道 90高缓存 高性价比
aiapibank,sub2api,2026-07-23T09:50:29Z,32,GPT低价分组,0.08,0.08,1.0,active,openai,限时低价 猛猛蹬 5.6系列可用
aiapibank,sub2api,2026-07-23T09:50:29Z,37,Grok分组（限时超低价）,0.05,0.05,1.0,active,grok,仅Grok-4.5可用
aiapibank,sub2api,2026-07-23T09:50:29Z,4,GPT Pro纯血组,0.2,0.2,1.0,active,openai,超稳纯Pro池 满血稳定
aiapibank,sub2api,2026-07-23T09:50:29Z,5,GPT Plus+Pro组,0.14,0.14,1.0,active,openai,主Plus号池+Pro号池兜底 性价比高 稳定性up
aiapibank,sub2api,2026-07-23T09:50:29Z,6,Claude Code Max 20x组,1,1.0,1.0,active,anthropic,满血Claude 最新模型可用
aresaicode,sub2api,2026-07-23T09:52:02Z,11,生图（0.02一张）,1,1.0,1.0,active,openai,
aresaicode,sub2api,2026-07-23T09:52:02Z,15,低价plus,0.035,0.035,1.0,active,openai,延迟会很高！介意速度的去用另一个plus
aresaicode,sub2api,2026-07-23T09:52:02Z,18,grok4.5,0.01,0.01,1.0,active,grok,不可以生图，只能用grok4.5，建议使用grok的cli工具和claude。不建议codex接入
aresaicode,sub2api,2026-07-23T09:52:02Z,2,gpt codex-plus（已上5.6）,0.08,0.08,1.0,active,openai,可以接入chatbox聊天，支持codex等，已经支持生图
aresaicode,sub2api,2026-07-23T09:52:02Z,8,claude kiro版本（高缓存，上下文1m）,0.13,0.13,1.0,active,anthropic,"kiro版本，非满血claude
"
botcf,newapi,2026-07-23T09:53:05Z,⚓Codex-Plus,⚓Codex-Plus,0.12,0.12,1.0,,,"目前性价比之选plus号池(有时会涨价因为有少量pro兜底)(真心的,三局只吃这个😡)"
